ダウンロードした時刻：2021/04/16 06:47:35

,京都,京都,京都
年月,平均気温(℃),平均気温(℃),平均気温(℃)
,,品質情報,均質番号
1942/12,4.4,8,2
1943/1,1.8,8,2
1943/2,2.7,8,2
1943/3,6.1,8,2
1943/11,10.1,8,2
1943/12,5.3,8,2
1944/1,2.9,8,2
1944/2,2.5,8,2
1944/3,5.7,8,2
1944/11,10.9,8,2
1944/12,4.1,8,2
1945/1,0.9,8,2
1945/2,1.2,8,2
1945/3,6.6,8,2
1945/11,10.2,8,2
1945/12,4.2,8,2
1946/1,3.4,8,2
1946/2,3.4,8,2
1946/3,6.1,8,2
1946/11,12.9,8,2
1946/12,4.8,8,2
1947/1,3.8,8,2
1947/2,1.4,8,2
1947/3,5.4,8,2
1947/11,8.7,8,2
1947/12,3.8,8,2
1948/1,3.5,8,2
1948/2,4.1,8,2
1948/3,6.4,8,2
1948/11,11.3,8,2
1948/12,8.5,8,2
1949/1,4.6,8,2
1949/2,5.8,8,2
1949/3,5.5,8,2
1949/11,10.5,8,2
1949/12,6.4,8,2
1950/1,5.2,8,2
1950/2,4.4,8,2
1950/3,6.8,8,2
1950/11,11.2,8,2
1950/12,5.0,8,2
1951/1,3.5,8,2
1951/2,4.8,8,2
1951/3,7.4,8,2
1951/11,10.8,8,2
1951/12,7.2,8,2
1952/1,4.1,8,2
1952/2,3.3,8,2
1952/3,6.8,8,2
1952/11,12.6,8,2
1952/12,5.9,8,2
1953/1,2.9,8,2
1953/2,4.0,8,2
1953/3,8.6,8,2
1953/11,10.2,8,2
1953/12,7.1,8,2
1954/1,5.1,8,2
1954/2,5.3,8,2
1954/3,7.6,8,2
1954/11,12.1,8,2
1954/12,6.6,8,2
1955/1,3.2,8,2
1955/2,5.6,8,2
1955/3,9.0,8,2
1955/11,9.6,8,2
1955/12,6.8,8,2
1956/1,3.6,8,2
1956/2,3.4,8,2
1956/3,8.3,8,2
1956/11,10.3,8,2
1956/12,4.3,8,2
1957/1,4.3,8,2
1957/2,3.6,8,2
1957/3,5.2,8,2
1957/11,12.1,8,2
1957/12,7.0,8,2
1958/1,4.0,8,2
1958/2,5.3,8,2
1958/3,7.5,8,2
1958/11,10.7,8,2
1958/12,7.1,8,2
1959/1,3.4,8,2
1959/2,7.5,8,2
1959/3,9.0,8,2
1959/11,12.0,8,2
1959/12,6.7,8,2
1960/1,3.9,8,2
1960/2,5.4,8,2
1960/3,8.9,8,2
1960/11,11.9,8,2
1960/12,5.8,8,2
1961/1,2.6,8,2
1961/2,3.3,8,2
1961/3,8.0,8,2
1961/11,12.3,8,2
1961/12,6.6,8,2
1962/1,3.2,8,2
1962/2,4.8,8,2
1962/3,7.3,8,2
1962/11,11.0,8,2
1962/12,6.6,8,2
