ダウンロードした時刻：2021/04/16 06:52:29

集計開始,集計終了,京都,京都,京都
年月日,年月日,平均気温(℃),平均気温(℃),平均気温(℃)
,,,品質情報,均質番号
1898/2/11,1898/2/20,4.1,8,1
1898/2/21,1898/2/28,3.2,8,1
1898/3/1,1898/3/10,3.1,8,1
1898/3/11,1898/3/20,5.3,8,1
1898/3/21,1898/3/31,7.6,8,1
1898/11/1,1898/11/10,12.2,8,1
1898/11/11,1898/11/20,13.2,8,1
1898/11/21,1898/11/30,8.5,8,1
1898/12/1,1898/12/10,7.9,8,1
1898/12/11,1898/12/20,5.7,8,1
1898/12/21,1898/12/31,3.0,8,1
1899/1/1,1899/1/10,2.5,8,1
1899/1/11,1899/1/20,2.6,8,1
1899/1/21,1899/1/31,1.7,8,1
1899/2/1,1899/2/10,2.1,8,1
1899/2/11,1899/2/20,2.7,8,1
1899/2/21,1899/2/28,8.2,8,1
1899/3/1,1899/3/10,7.8,8,1
1899/3/11,1899/3/20,5.1,8,1
1899/3/21,1899/3/31,8.4,8,1
1899/11/1,1899/11/10,8.7,8,1
1899/11/11,1899/11/20,7.3,8,1
1899/11/21,1899/11/30,4.9,8,1
1899/12/1,1899/12/10,5.1,8,1
1899/12/11,1899/12/20,5.2,8,1
1899/12/21,1899/12/31,4.9,8,1
1900/1/1,1900/1/10,1.5,8,1
1900/1/11,1900/1/20,1.3,8,1
1900/1/21,1900/1/31,1.8,8,1
1900/2/1,1900/2/10,1.5,8,1
1900/2/11,1900/2/20,3.1,8,1
1900/2/21,1900/2/28,3.2,8,1
1900/3/1,1900/3/10,4.2,8,1
1900/3/11,1900/3/20,3.8,8,1
1900/3/21,1900/3/31,7.5,8,1
1900/11/1,1900/11/10,12.1,8,1
1900/11/11,1900/11/20,9.1,8,1
1900/11/21,1900/11/30,9.6,8,1
1900/12/1,1900/12/10,4.8,8,1
1900/12/11,1900/12/20,3.4,8,1
1900/12/21,1900/12/31,4.6,8,1
1901/1/1,1901/1/10,5.3,8,1
1901/1/11,1901/1/20,3.8,8,1
1901/1/21,1901/1/31,3.5,8,1
1901/2/1,1901/2/10,0.9,8,1
