year,date_doy,month,day,source_type,source,tempC,tempF
1942,96,Apr,6,0,ASADA-TAKASHI-NIKKI,9.9,49.82
1943,101,Apr,11,0,ASADA-TAKASHI-NIKKI,6.1,42.98
1944,100,Apr,9,0,ASADA-TAKASHI-NIKKI,5.7,42.26
1945,NA,NA,NA,NA,-,6.6,43.88
1946,97,Apr,7,0,NEWS-PAPER(ARASHIYAMA),6.1,42.98
1947,107,Apr,17,0,NEWS-PAPER(ARASHIYAMA),5.4,41.72
1948,102,Apr,11,0,NEWS-PAPER(ARASHIYAMA),6.4,43.52
1949,107,Apr,17,0,NEWS-PAPER(ARASHIYAMA),5.5,41.9
1950,99,Apr,9,0,NEWS-PAPET(DAIGO-JI),6.8,44.24
1951,98,Apr,8,0,NEWS-PAPER(ARASHIYAMA),7.4,45.32
1952,105,Apr,14,0,NEWS-PAPER(ARASHIYAMA),6.8,44.24
1953,100,Apr,11,0,Japan Meteorological Agency,8.6,47.48
1954,94,Apr,5,0,Japan Meteorological Agency,7.6,45.68
1955,96,Apr,7,0,Japan Meteorological Agency,9,48.2
1956,100,Apr,10,0,Japan Meteorological Agency,8.3,46.94
1957,101,Apr,12,0,Japan Meteorological Agency,5.2,41.36
1958,97,Apr,8,0,Japan Meteorological Agency,7.5,45.5
1959,91,Apr,2,0,Japan Meteorological Agency,9,48.2
1960,95,Apr,5,0,Japan Meteorological Agency,8.9,48.02
1961,95,Apr,6,0,Japan Meteorological Agency,8,46.4
1962,96,Apr,7,0,Japan Meteorological Agency,7.3,45.14
1963,98,Apr,9,0,Japan Meteorological Agency,7,44.6
1964,96,Apr,6,0,Japan Meteorological Agency,6.6,43.88
1965,106,Apr,17,0,Japan Meteorological Agency,5.5,41.9
1966,95,Apr,6,0,Japan Meteorological Agency,8.5,47.3
1967,95,Apr,6,0,Japan Meteorological Agency,7.7,45.86
1968,95,Apr,5,0,Japan Meteorological Agency,8,46.4
1969,102,Apr,13,0,Japan Meteorological Agency,6.9,44.42
1970,104,Apr,15,0,Japan Meteorological Agency,5,41
1971,96,Apr,7,0,Japan Meteorological Agency,7.4,45.32
1972,97,Apr,7,0,Japan Meteorological Agency,8.8,47.84
1973,97,Apr,8,0,Japan Meteorological Agency,7.8,46.04
1974,98,Apr,9,0,Japan Meteorological Agency,7,44.6
1975,99,Apr,10,0,Japan Meteorological Agency,7.4,45.32
1976,99,Apr,9,0,Japan Meteorological Agency,7.9,46.22
1977,92,Apr,3,0,Japan Meteorological Agency,8.7,47.66
1978,102,Apr,13,0,Japan Meteorological Agency,7.6,45.68
1979,98,Apr,9,0,Japan Meteorological Agency,8,46.4
1980,98,Apr,8,0,Japan Meteorological Agency,7.3,45.14
1981,97,Apr,8,0,Japan Meteorological Agency,8.3,46.94
1982,89,Mar,31,0,Japan Meteorological Agency,8.6,47.48
1983,98,Apr,9,0,Japan Meteorological Agency,7.8,46.04
1984,104,Apr,14,0,Japan Meteorological Agency,5.1,41.18
1985,97,Apr,8,0,Japan Meteorological Agency,8.5,47.3
1986,97,Apr,8,0,Japan Meteorological Agency,7.6,45.68
1987,95,Apr,6,0,Japan Meteorological Agency,8.2,46.76
1988,101,Apr,11,0,Japan Meteorological Agency,7.3,45.14
1989,91,Apr,2,0,Japan Meteorological Agency,8.2,46.76
1990,87,Mar,29,0,Japan Meteorological Agency,9.3,48.74
1991,95,Apr,6,0,Japan Meteorological Agency,9.4,48.92
1992,93,Apr,3,0,Japan Meteorological Agency,9.7,49.46
1993,95,Apr,6,0,Japan Meteorological Agency,7.6,45.68
1994,95,Apr,6,0,Japan Meteorological Agency,7.1,44.78
1995,95,Apr,6,0,Japan Meteorological Agency,8.6,47.48
1996,99,Apr,9,0,Japan Meteorological Agency,7.7,45.86
1997,93,Apr,4,0,Japan Meteorological Agency,9.3,48.74
1998,90,Apr,1,0,Japan Meteorological Agency,9.7,49.46
1999,91,Apr,2,0,Japan Meteorological Agency,9.9,49.82
2000,100,Apr,10,0,Japan Meteorological Agency,7.5,45.5
2001,92,Apr,3,0,Japan Meteorological Agency,8.6,47.48
2002,86,Mar,28,0,Japan Meteorological Agency,10.3,50.54
2003,93,Apr,4,0,Japan Meteorological Agency,7.3,45.14
2004,93,Apr,3,0,Japan Meteorological Agency,9.1,48.38
2005,97,Apr,8,0,Japan Meteorological Agency,7.7,45.86
2006,95,Apr,6,0,Japan Meteorological Agency,7.5,45.5
2007,92,Apr,3,0,Japan Meteorological Agency,8.6,47.48
2008,91,Apr,1,0,Japan Meteorological Agency,9.6,49.28
2009,94,Apr,5,0,Japan Meteorological Agency,8.8,47.84
2010,90,Apr,1,0,Japan Meteorological Agency,8.5,47.3
2011,96,Apr,7,0,Japan Meteorological Agency,6.8,44.24
2012,99,Apr,9,0,Japan Meteorological Agency,8.3,46.94
2013,88,Mar,30,0,Japan Meteorological Agency,9.7,49.46
2014,91,Apr,2,0,Japan Meteorological Agency,9,48.2
2015,90,Apr,1,0,Japan Meteorological Agency,9.4,48.92
2016,92,Apr,2,0,Japan Meteorological Agency,9.9,49.82
2017,96,Apr,7,0,Japan Meteorological Agency,8.2,46.76
2018,86,Mar,28,0,Japan Meteorological Agency,10.9,51.62
2019,95,Apr,6,0,Japan Meteorological Agency,9.6,49.28
2020,89,Mar,30,0,Japan Meteorological Agency,10.6,51.08
2021,84,Mar,26,0,Japan Meteorological Agency,11.6,52.88
